OBJECTID,LAKE_NAME,LAKE_CLASS,PERIMETER_M,AREA_M2,AREA_HA,ShapeSTArea,ShapeSTLength
104,Lake Merino,Small to Medium High Country Lake,776.59854677,20798.49745099,2.07984974,20798.497450925,776.598546775402
105,Loch Cameron,Small to Medium High Country Lake,783.32229687,32292.58629403,3.22925862,32292.586294035,783.322296872634
106,Twin Lakes,Small to Medium High Country Lake,469.98423006,6683.71677836,0.66837167,6683.716778365,469.984230063313
107,Wairepa Arm,Artificial Other Lake,5622.96035395,662179.64714553,66.21796471,662179.6471453,5622.96035395576
108,Kelland Pond,Artificial Other Lake,3637.05393801,197118.66687362,19.71186668,197118.666873485,3637.05393801262
109, ,Small to Medium High COuntry Lake,1173.09174194,61148.64699554,6.11486469,61148.64699546,1173.09174194473
110,Princess Bath,Natural,1173.09174194,61148.64699554,6.11486469,61148.64699546,1173.09174194473
111,Mystery Tarn,Small to Medium High Country Lake,591.72919249,17498.98348633,1.74989834,17498.983486325,591.729192495074
112, ,Small to Medium High Country Lake,1957.0315494,174450.91278757,17.44509127,174450.91278758,1957.03154940209
113,Red Lakes,,687.83096524,13727.22957781,1.37272295,13727.229577855,687.830965250337
114,Red Lakes,,932.05003716,16095.36562327,1.60953656,16095.36562335,932.050037161797
115, ,,687.83096524,13727.22957781,1.37272295,13727.229577855,687.830965250337
116, ,,932.05003716,16095.36562327,1.60953656,16095.36562335,932.050037161797
117,Red Lakes,Small to Medium High Country Lake,687.83096524,13727.22957781,1.37272295,13727.229577855,687.830965250337
118,Red Lakes,Small to Medium High Country Lake,932.05003716,16095.36562327,1.60953656,16095.36562335,932.050037161797
119,Tutaepatu Lagoon,Coastal Lake,419.14583589,10917.84333328,1.09178433,10917.843333305,419.145835898455
120, ,,417.87418297,10465.09744682,1.04650974,10465.097446865,417.874182974576
121, ,Small to Medium High Country Lake,417.87418297,10465.09744682,1.04650974,10465.097446865,417.874182974576
122, ,Small to Medium High Country Lake,1407.51550034,74048.13149011,7.40481314,74048.13149019,1407.51550035061
123, ,Small to Medium High Country Lake,1651.93133394,63803.98490578,6.38039849,63803.984905865,1651.93133394996
124, ,Small to Medium High Country Lake,1697.81170451,70617.47439099,7.06174743,70617.474390875,1697.81170451449
125, ,Small to Medium High Country Lake,565.4180075,14214.0642478,1.42140642,14214.06424775,565.418007504026
126, ,Small to Medium High Country Lake,594.73072008,21583.54012483,2.15835401,21583.540124795,594.73072008382
127, ,Small to Medium High Country Lake,1319.18896941,58724.05583088,5.87240558,58724.055830885,1319.18896941763
128, ,Small to Medium High Country Lake,1090.01246122,52178.54206977,5.2178542,52178.54206983,1090.01246122541
129, ,Small to Medium High Country Lake,831.92199403,36676.22639685,3.66762263,36676.226396845,831.921994035354
130, ,Small to Medium High Country Lake,648.75887324,23101.70325863,2.31017032,23101.703258655,648.758873243946
131, ,Small to Medium High Country Lake,1566.71466878,87866.64682587,8.78666468,87866.64682587,1566.71466878547
132, ,Small to Medium High Country Lake,1036.72724544,39171.76449553,3.91717644,39171.764495535,1036.72724544736
133, ,Small to Medium High Country Lake,990.89851547,25370.63181963,2.53706318,25370.63181966,990.89851547484
134, ,Small to Medium High Country Lake,1041.19865913,52686.79291186,5.26867929,52686.792911875,1041.1986591357
135, ,Small to Medium High Country Lake,1094.42958817,72108.44974715,7.21084497,72108.44974725,1094.42958817118
136, ,Small to Medium High Country Lake,1818.83042566,98107.02564005,9.81070256,98107.0256401,1818.83042566891
137,Boundary Tarns,Small to Medium High Country Lake,382.54985867,7237.38518876,0.72373851,7237.38518877,382.549858675811
138,Pegasus,Artificial Other Lake,3476.32189052,133208.65518512,13.32086551,133208.655185175,3476.32189051716
139, ,Small to Medium High Country Lake,605.0795932,25295.91153546,2.52959115,25295.911535415,605.079593206328
140, ,Small to Medium High Country Lake,151.37832799,1446.06193492,0.14460619,1446.06193493,151.37832799701
141, ,Small to Medium High Country Lake,263.90789038,5198.97727845,0.51989772,5198.977278455,263.907890384691
142, ,Small to Medium High Country Lake,301.18562481,4880.85715508,0.48808571,4880.857155085,301.185624811671
143, ,Small to Medium High Country Lake,360.24285365,5817.16924606,0.58171692,5817.169246045,360.242853657726
144, ,Small to Medium High Country Lake,355.15535172,8028.39088398,0.80283908,8028.390883955,355.155351728277
145, ,Small to Medium High Country Lake,255.34980723,3606.74019133,0.36067401,3606.740191305,255.349807234293
146, ,Small to Medium High Country Lake,391.6302697,9357.63683074,0.93576368,9357.63683078,391.63026970857
147, ,Small to Medium High Country Lake,1364.65981508,62839.56123437,6.28395612,62839.56123445,1364.65981509139
148, ,Small to Medium High Country Lake,382.97432297,8570.35463432,0.85703546,8570.35463436,382.974322980373
149, ,Small to Medium High Country Lake,461.88336409,12259.27125504,1.22592712,12259.271255045,461.883364094662
150, ,Small to Medium High Country Lake,480.64054032,8888.90951888,0.88889095,8888.909518875,480.640540330145
151, ,Small to Medium High Country Lake,480.64054032,8888.90951888,0.88889095,8888.909518875,480.640540330145
152, ,Small to Medium High Country Lake,389.93404007,7030.47393494,0.70304739,7030.473934935,389.934040076415
153, ,Small to Medium High Country Lake,2784.4989354,163973.00647163,16.39730064,163973.006471405,2784.49893540542
154, ,Small to Medium High Country Lake,745.05004468,23644.90286137,2.36449028,23644.90286143,745.050044686375
